
Name             Version     Source Updated             Info
----             -------     ------ -------             ----
7zip             23.01       main   2023-07-13 19:20:36 
aria2            1.36.0-1    main   2023-09-24 10:31:23 
ast-grep         0.12.1      main   2023-09-24 10:31:28 
bat              0.23.0      main   2023-09-24 10:31:32 
caddy            2.7.4       main   2023-09-24 10:31:56 
chk              5.00        extras 2023-09-09 15:28:14 
cloc             1.98        main   2023-09-05 09:28:12 
croc             9.6.5       main   2023-09-24 10:32:03 
delta            0.16.5      main   2023-09-24 10:32:13 
dufs             0.36.0      main   2023-09-24 10:32:17 
ethr             1.0.0       main   2023-09-24 10:32:21 
eza              0.13.0      main   2023-09-24 10:32:23 
fd               8.7.0       main   2023-09-24 10:32:26 
frp              0.51.3      main   2023-09-24 10:32:43 
fx               30.0.3      main   2023-09-24 10:32:47 
fzf              0.42.0      main   2023-09-20 19:00:41 
gh               2.34.0      main   2023-09-17 21:50:08 
innounp          0.50        main   2023-09-02 11:43:26 
iperf3           3.1.3       main   2023-09-16 11:27:29 
jq               1.7         main   2023-09-24 10:32:55 
lazygit          0.38.2      extras 2023-07-09 21:59:21 
lsd              1.0.0       main   2023-09-24 10:33:00 
magic-wormhole   0.12.0      main   2023-09-24 10:33:14 
micro            2.0.12      main   2023-09-24 10:33:18 
miller           6.9.0       main   2023-09-24 10:40:04 
miniserve        0.24.0      main   2023-09-24 10:33:24 
mkcert           1.4.4       extras 2023-09-24 10:33:27 
neovim           0.9.2       main   2023-09-21 17:26:35 
netcat           1.12        main   2023-07-08 18:08:01 
networkmanager   2023.6.27.1 extras 2023-07-11 16:15:30 
ngrok            3.3.4       main   2023-09-24 10:33:37 
onefetch         2.18.1      extras 2023-09-24 10:33:42 
paint.net        5.0.9       extras 2023-09-05 09:29:23 
pastel           0.9.0       main   2023-09-24 10:33:44 
peazip           9.4.0       extras 2023-09-09 11:43:01 
putty            0.78        extras 2023-07-11 16:40:40 
qrcp             0.10.1      main   2023-09-24 10:33:51 
rathole          0.4.8       main   2023-09-24 10:33:53 
ripgrep          13.0.0      main   2023-09-24 10:34:07 
scoop-completion 0.2.4       extras 2023-07-09 10:50:08 
scrcpy           2.1.1       main   2023-09-02 18:14:30 
speedtest-cli    1.2.0       main   2023-09-24 10:34:23 
ugrep            3.12.2      main   2023-07-10 11:11:12 
upx              4.1.0       main   2023-08-26 16:01:31 
vim              9.0         main   2023-09-24 10:46:58 
xh               0.18.0      main   2023-09-24 10:34:27 
xsv              0.13.0      main   2023-09-24 10:34:30 
yq               4.35.1      main   2023-09-24 10:34:42 
yt-dlp           2023.09.24  main   2023-09-24 10:34:56 

